carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
AA,195.8,8,0,1,0
AA,195.8,9,0,1,0
AA,195.8,74,0,1,1
AA,195.8,7,0,1,0
UA,178.0,59,0,1,0
AA,195.8,57,0,1,0
AA,195.8,58,0,1,0
UA,178.0,21,0,1,1
AA,195.8,11,0,1,0
AA,195.8,7,0,1,1
AA,195.8,57,0,1,1
AA,195.8,48,0,1,0
UA,178.0,103,0,1,1
AA,195.8,11,0,1,0
UA,178.0,8,0,1,1
UA,178.0,114,0,1,1
AA,195.8,7,0,1,1
UA,178.0,94,0,1,1
UA,178.0,59,0,1,0
AA,195.8,10,0,1,1
AA,195.8,7,0,1,1
AA,195.8,64,0,1,1
AA,195.8,10,0,1,0
UA,178.0,47,0,1,1
AA,195.8,8,0,1,0
UA,178.0,49,0,1,1
UA,178.0,127,0,1,1
AA,195.8,7,0,1,1
AA,195.8,10,0,1,1
AA,195.8,58,0,1,1
AA,195.8,49,0,1,1
AA,195.8,109,0,1,0
AA,195.8,8,0,1,0
UA,178.0,94,0,1,1
UA,178.0,7,0,1,1
AA,195.8,8,0,1,0
AA,195.8,9,0,1,1
UA,178.0,94,0,1,1
UA,178.0,108,0,1,1
AA,195.8,7,0,1,0
UA,178.0,64,0,1,1
AA,195.8,48,0,1,0
UA,178.0,109,0,1,1
AA,195.8,7,0,1,0
AA,195.8,8,0,1,0
AA,195.8,105,0,1,1
AA,195.8,8,0,1,0
AA,195.8,7,0,1,0
AA,195.8,7,0,1,1
AA,195.8,8,0,1,0
AA,195.8,7,0,1,1
AA,195.8,7,0,1,0
AA,195.8,117,0,1,1
UA,178.0,30,0,1,1
AA,195.8,8,0,1,0
AA,195.8,7,0,1,1
UA,178.0,20,0,1,0
UA,178.0,20,0,1,0
AA,195.8,30,0,1,1
AA,195.8,12,0,1,1
AA,195.8,7,0,1,1
AA,195.8,59,0,1,0
AA,195.8,55,0,1,0
AA,195.8,11,0,1,0
